ID,Make,Model,Year,Trim,Trim (description),Base MSRP,Body type,Length (in),Width (in),Height (in),Wheelbase (in),Curb weight (lbs),Cylinders,Engine size (l),Horsepower (HP),Horsepower (rpm),Torque (ft-lbs),Torque (rpm),Drive type,Transmission,Engine type,Fuel type,Fuel tank capacity (gal),EPA combined MPG,EPA city/highway MPG,Range in miles (city/hwy),Country of origin,Car classification,Platform code / generation number
401729239,BMW,3 Series,2018,340i xDrive,340i xDrive 4dr Sedan AWD (3.0L 6cyl Turbo 8A),"$50,950",Sedan,182.8,71.3,56.5,110.6,3820,I6,3,320,5500,330,1380,all wheel drive,8-speed shiftable automatic,gas,premium unleaded (recommended),15.8,25,21/31 MPG,331.8/489.8 mi.,Europe/Germany,Compact car,"F30, F31, F80"
401729247,BMW,3 Series,2018,328d,328d 4dr Sedan (2.0L 4cyl Turbodiesel 8A),"$41,750",Sedan,182.8,71.3,56.3,110.6,3510,I4,2,180,4000,280,1750,rear wheel drive,8-speed shiftable automatic,diesel,diesel fuel,15,36,31/43 MPG,465.0/645.0 mi.,Europe/Germany,Compact car,"F30, F31, F80"
401729242,BMW,3 Series,2018,328d xDrive,328d xDrive 4dr Sedan AWD (2.0L 4cyl Turbodiesel 8A),"$43,750",Sedan,182.8,71.3,56.5,110.6,3695,I4,2,180,4000,280,1750,all wheel drive,8-speed shiftable automatic,diesel,diesel fuel,15,34,30/40 MPG,450.0/600.0 mi.,Europe/Germany,Compact car,"F30, F31, F80"
401729241,BMW,3 Series,2018,328d xDrive,328d xDrive 4dr Wagon AWD (2.0L 4cyl Turbodiesel 8A),"$46,150",Wagon,182.8,71.3,56.5,110.6,3913,I4,2,180,4000,280,1750,all wheel drive,8-speed shiftable automatic,diesel,diesel fuel,15,34,30/40 MPG,450.0/600.0 mi.,Europe/Germany,Compact car,"F30, F31, F80"
401729237,BMW,3 Series,2018,330i xDrive,330i xDrive 4dr Wagon AWD (2.0L 4cyl Turbo 8A),"$44,650",Wagon,182.8,71.3,56.5,110.6,3867,I4,2,248,5200,258,1450,all wheel drive,8-speed shiftable automatic,gas,premium unleaded (recommended),15.8,27,23/33 MPG,363.4/521.4 mi.,Europe/Germany,Compact car,"F30, F31, F80"
401729245,BMW,3 Series,2018,330e iPerformance,330e iPerformance 4dr Sedan (2.0L 4cyl Turbo gas/electric plug-in hybrid 8A),"$45,600",Sedan,182.8,71.3,56.3,110.6,3900,I4,2,248,,310,,rear wheel drive,8-speed shiftable automatic,plug-in hybrid,premium unleaded (recommended),10.8,30,28/24 MPG,302.4/259.2 mi.,Europe/Germany,Compact car,"F30, F31, F80"
401732583,BMW,3 Series,2018,M3,M3 4dr Sedan (3.0L 6cyl Turbo 6M),"$66,500",Sedan,184.6,73.9,56.1,110.7,3575,I6,3,425,5500,406,1850,rear wheel drive,6-speed manual,gas,premium unleaded (required),15.8,20,17/25 MPG,268.6/395.0 mi.,Europe/Germany,Compact car,"F30, F31, F80"
401789631,BMW,3 Series,2018,M3,M3 CS 4dr Sedan (3.0L 6cyl Turbo 7A),"$98,250",Sedan,183.9,73.9,56.1,110.7,3494,I6,3,453,6250,443,4000,rear wheel drive,7-speed automated manual,gas,premium unleaded (required),15.9,19,16/22 MPG,254.4/349.8 mi.,Europe/Germany,Compact car,"F30, F31, F80"
200729833,BMW,3 Series,2016,320i,320i 4dr Sedan (2.0L 4cyl Turbo 8A),"$33,150",Sedan,182.4,71.3,56.3,110.6,3370,I4,2,180,5000,200,1250,rear wheel drive,8-speed shiftable automatic,gas,premium unleaded (required),15.8,28,24/36 MPG,379.2/568.8 mi.,Europe/Germany,Compact car,"F30, F31, F80"
200741593,BMW,3 Series,2016,320i xDrive,320i xDrive 4dr Sedan AWD (2.0L 4cyl Turbo 8A),"$35,150",Sedan,182.4,71.3,56.5,110.6,3510,I4,2,180,5000,200,1250,all wheel drive,8-speed shiftable automatic,gas,premium unleaded (required),15.8,27,23/35 MPG,363.4/553.0 mi.,Europe/Germany,Compact car,"F30, F31, F80"
200741592,BMW,3 Series,2016,328i,328i 4dr Sedan (2.0L 4cyl Turbo 6M),"$38,350",Sedan,182.4,71.3,56.3,110.6,3320,I4,2,240,5000,255,1250,rear wheel drive,6-speed manual,gas,premium unleaded (required),15.8,26,22/34 MPG,347.6/537.2 mi.,Europe/Germany,Compact car,"F30, F31, F80"
200741591,BMW,3 Series,2016,328i SULEV,328i SULEV 4dr Sedan (2.0L 4cyl Turbo 8A),"$38,350",Sedan,182.4,71.3,56.3,110.6,3370,I4,2,240,5000,255,1250,rear wheel drive,8-speed shiftable automatic,gas,premium unleaded (required),15.8,26,22/34 MPG,347.6/537.2 mi.,Europe/Germany,Compact car,"F30, F31, F80"
200741590,BMW,3 Series,2016,328i xDrive SULEV,328i xDrive SULEV 4dr Sedan AWD (2.0L 4cyl Turbo 8A),"$40,350",Sedan,182.4,71.3,56.5,110.6,3635,I4,2,240,5000,255,1250,all wheel drive,8-speed shiftable automatic,gas,premium unleaded (required),15.8,26,22/34 MPG,347.6/537.2 mi.,Europe/Germany,Compact car,"F30, F31, F80"
200741587,BMW,3 Series,2016,340i,340i 4dr Sedan (3.0L 6cyl Turbo 8A),"$45,800",Sedan,182.4,71.3,56.3,110.6,3695,I6,3,320,5500,330,1380,rear wheel drive,8-speed shiftable automatic,gas,premium unleaded (required),15.8,26,22/33 MPG,347.6/521.4 mi.,Europe/Germany,Compact car,"F30, F31, F80"
200741586,BMW,3 Series,2016,340i xDrive,340i xDrive 4dr Sedan AWD (3.0L 6cyl Turbo 8A),"$47,800",Sedan,182.4,71.3,56.5,110.6,3720,I6,3,320,5500,330,1380,all wheel drive,8-speed shiftable automatic,gas,premium unleaded (required),15.8,26,22/33 MPG,347.6/521.4 mi.,Europe/Germany,Compact car,"F30, F31, F80"
200741594,BMW,3 Series,2016,328d,328d 4dr Sedan (2.0L 4cyl Turbodiesel 8A),"$39,850",Sedan,182.4,71.3,56.3,110.6,3510,I4,2,180,4000,280,1750,rear wheel drive,8-speed shiftable automatic,diesel,diesel fuel,15,36,32/42 MPG,480.0/630.0 mi.,Europe/Germany,Compact car,"F30, F31, F80"
200741588,BMW,3 Series,2016,328d xDrive,328d xDrive 4dr Sedan AWD (2.0L 4cyl Turbodiesel 8A),"$41,850",Sedan,182.4,71.3,56.5,110.6,3695,I4,2,180,4000,280,1750,all wheel drive,8-speed shiftable automatic,diesel,diesel fuel,15,34,30/40 MPG,450.0/600.0 mi.,Europe/Germany,Compact car,"F30, F31, F80"
200741589,BMW,3 Series,2016,328d xDrive,328d xDrive 4dr Wagon AWD (2.0L 4cyl Turbodiesel 8A),"$44,150",Wagon,182.4,71.3,56.3,110.6,3895,I4,2,180,4000,280,1750,all wheel drive,8-speed shiftable automatic,diesel,diesel fuel,15,34,30/40 MPG,450.0/600.0 mi.,Europe/Germany,Compact car,"F30, F31, F80"
200741585,BMW,3 Series,2016,328i xDrive,328i xDrive 4dr Wagon AWD (2.0L 4cyl Turbo 8A),"$42,650",Wagon,182.4,71.3,56.5,110.6,3825,I4,2,240,5000,255,1250,all wheel drive,8-speed shiftable automatic,gas,premium unleaded (required),15.8,26,22/34 MPG,347.6/537.2 mi.,Europe/Germany,Compact car,"F30, F31, F80"
401638449,BMW,3 Series,2016,330e,330e 4dr Sedan (2.0L 4cyl Turbo gas/electric plug-in hybrid 8A),"$43,700",Sedan,182.4,71.3,56.3,110.6,3915,I4,2,248,,310,,rear wheel drive,8-speed shiftable automatic,plug-in hybrid,premium unleaded (required),10.8,31,,0/0 mi.,Europe/Germany,Compact car,"F30, F31, F80"
401566521,BMW,3 Series,2016,M3,M3 4dr Sedan (3.0L 6cyl Turbo 6M),"$63,500",Sedan,183.9,73.9,56.3,110.7,3540,I6,3,425,5500,406,1850,rear wheel drive,6-speed manual,gas,premium unleaded (required),15.8,20,17/26 MPG,268.6/410.8 mi.,Europe/Germany,Compact car,"F30, F31, F80"
200489817,BMW,3 Series,2014,320i,320i 4dr Sedan (2.0L 4cyl Turbo 8A),"$32,750",Sedan,182.5,71.3,56.3,110.6,3295,I4,2,180,5000,184,1250,rear wheel drive,8-speed shiftable automatic,gas,premium unleaded (required),15.8,28,24/36 MPG,379.2/568.8 mi.,Europe/Germany,Compact car,"F30, F31, F80"
200489818,BMW,3 Series,2014,320i xDrive,320i xDrive 4dr Sedan AWD (2.0L 4cyl Turbo 8A),"$34,750",Sedan,182.5,71.3,56.3,110.6,3450,I4,2,180,5000,199,1250,all wheel drive,8-speed shiftable automatic,gas,premium unleaded (required),15.8,27,23/35 MPG,363.4/553.0 mi.,Europe/Germany,Compact car,"F30, F31, F80"
200489821,BMW,3 Series,2014,328i,328i 4dr Sedan (2.0L 4cyl Turbo 8A),"$37,300",Sedan,182.5,71.3,56.3,110.6,3410,I4,2,240,5000,255,1250,rear wheel drive,8-speed shiftable automatic,gas,premium unleaded (required),15.8,27,23/35 MPG,363.4/553.0 mi.,Europe/Germany,Compact car,"F30, F31, F80"
200489823,BMW,3 Series,2014,328i SULEV,328i SULEV 4dr Sedan (2.0L 4cyl Turbo 8A),"$37,300",Sedan,182.5,71.3,56.3,110.6,3420,I4,2,240,5000,255,1250,rear wheel drive,8-speed shiftable automatic,gas,premium unleaded (required),15.8,27,23/35 MPG,363.4/553.0 mi.,Europe/Germany,Compact car,"F30, F31, F80"
200489825,BMW,3 Series,2014,328i xDrive,328i xDrive 4dr Sedan AWD (2.0L 4cyl Turbo 8A),"$39,300",Sedan,182.5,71.3,56.3,110.6,3595,I4,2,240,5000,255,1250,all wheel drive,8-speed shiftable automatic,gas,premium unleaded (required),15.8,26,22/33 MPG,347.6/521.4 mi.,Europe/Germany,Compact car,"F30, F31, F80"
200489827,BMW,3 Series,2014,328i xDrive SULEV,328i xDrive SULEV 4dr Sedan AWD (2.0L 4cyl Turbo 8A),"$39,300",Sedan,182.5,71.3,56.3,110.6,3605,I4,2,240,5000,255,1250,all wheel drive,8-speed shiftable automatic,gas,premium unleaded (required),15.8,26,22/33 MPG,347.6/521.4 mi.,Europe/Germany,Compact car,"F30, F31, F80"
200489831,BMW,3 Series,2014,335i,335i 4dr Sedan (3.0L 6cyl Turbo 8A),"$43,400",Sedan,182.5,71.3,56.3,110.6,3555,I6,3,300,5800,300,1200,rear wheel drive,8-speed shiftable automatic,gas,premium unleaded (required),15.8,25,22/32 MPG,347.6/505.6 mi.,Europe/Germany,Compact car,"F30, F31, F80"
200489833,BMW,3 Series,2014,335i xDrive,335i xDrive 4dr Sedan AWD (3.0L 6cyl Turbo 8A),"$45,400",Sedan,182.5,71.3,56.3,110.6,3710,I6,3,300,5800,300,1200,all wheel drive,8-speed shiftable automatic,gas,premium unleaded (required),15.8,24,20/30 MPG,316.0/474.0 mi.,Europe/Germany,Compact car,"F30, F31, F80"
